Service,Discovery URL
cloudasset,https://cloudasset.googleapis.com/$discovery/rest?version=v1
cloudbilling,https://cloudbilling.googleapis.com/$discovery/rest?version=v1beta
cloudbilling,https://cloudbilling.googleapis.com/$discovery/rest?version=v1
cloudbuild,https://cloudbuild.googleapis.com/$discovery/rest?version=v1
cloudbuild,https://cloudbuild.googleapis.com/$discovery/rest?version=v2
cloudchannel,https://cloudchannel.googleapis.com/$discovery/rest?version=v1
cloudcontrolspartner,https://cloudcontrolspartner.googleapis.com/$discovery/rest?version=v1beta
cloudcontrolspartner,https://cloudcontrolspartner.googleapis.com/$discovery/rest?version=v1
clouddeploy,https://clouddeploy.googleapis.com/$discovery/rest?version=v1
clouderrorreporting,https://clouderrorreporting.googleapis.com/$discovery/rest?version=v1beta1
cloudfunctions,https://cloudfunctions.googleapis.com/$discovery/rest?version=v2alpha
cloudfunctions,https://cloudfunctions.googleapis.com/$discovery/rest?version=v2beta
cloudfunctions,https://cloudfunctions.googleapis.com/$discovery/rest?version=v1
cloudfunctions,https://cloudfunctions.googleapis.com/$discovery/rest?version=v2
cloudidentity,https://cloudidentity.googleapis.com/$discovery/rest?version=v1beta1
cloudidentity,https://cloudidentity.googleapis.com/$discovery/rest?version=v1
cloudkms,https://cloudkms.googleapis.com/$discovery/rest?version=v1
cloudprofiler,https://cloudprofiler.googleapis.com/$discovery/rest?version=v2
cloudresourcemanager,https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v1beta1
cloudresourcemanager,https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v2beta1
cloudresourcemanager,https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v1
cloudresourcemanager,https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v2
cloudresourcemanager,https://cloudresourcemanager.googleapis.com/$discovery/rest?version=v3
cloudscheduler,https://cloudscheduler.googleapis.com/$discovery/rest?version=v1beta1
cloudscheduler,https://cloudscheduler.googleapis.com/$discovery/rest?version=v1
cloudsearch,https://cloudsearch.googleapis.com/$discovery/rest?version=v1
cloudshell,https://cloudshell.googleapis.com/$discovery/rest?version=v1
cloudsupport,https://cloudsupport.googleapis.com/$discovery/rest?version=v2beta
cloudsupport,https://cloudsupport.googleapis.com/$discovery/rest?version=v2
cloudtasks,https://cloudtasks.googleapis.com/$discovery/rest?version=v2beta2
cloudtasks,https://cloudtasks.googleapis.com/$discovery/rest?version=v2beta3
cloudtasks,https://cloudtasks.googleapis.com/$discovery/rest?version=v2
cloudtrace,https://cloudtrace.googleapis.com/$discovery/rest?version=v2beta1
cloudtrace,https://cloudtrace.googleapis.com/$discovery/rest?version=v1
cloudtrace,https://cloudtrace.googleapis.com/$discovery/rest?version=v2
composer,https://composer.googleapis.com/$discovery/rest?version=v1beta1
composer,https://composer.googleapis.com/$discovery/rest?version=v1
www,https://www.googleapis.com/discovery/v1/apis/compute/alpha/rest
www,https://www.googleapis.com/discovery/v1/apis/compute/beta/rest
www,https://www.googleapis.com/discovery/v1/apis/compute/v1/rest
config,https://config.googleapis.com/$discovery/rest?version=v1
connectors,https://connectors.googleapis.com/$discovery/rest?version=v1
connectors,https://connectors.googleapis.com/$discovery/rest?version=v2
contactcenteraiplatform,https://contactcenteraiplatform.googleapis.com/$discovery/rest?version=v1alpha1
contactcenterinsights,https://contactcenterinsights.googleapis.com/$discovery/rest?version=v1
container,https://container.googleapis.com/$discovery/rest?version=v1beta1
container,https://container.googleapis.com/$discovery/rest?version=v1
containeranalysis,https://containeranalysis.googleapis.com/$discovery/rest?version=v1alpha1
containeranalysis,https://containeranalysis.googleapis.com/$discovery/rest?version=v1beta1
containeranalysis,https://containeranalysis.googleapis.com/$discovery/rest?version=v1
shoppingcontent,https://shoppingcontent.googleapis.com/$discovery/rest?version=v2.1
contentwarehouse,https://contentwarehouse.googleapis.com/$discovery/rest?version=v1
css,https://css.googleapis.com/$discovery/rest?version=v1
